stage_order,pipeline_name,input_schema_type,input_format,output_schema_type,output_format,processing_logic,input_location,output_location,schema_template_ref,validation_rules
1,Structural:Load Domains,csv/domains.csv,csv,taxonomy_node/folder_domain,dict,parse element_number->id, element_name->name,.docs/roadmap_to_full_production_ready/domains.csv,taxonomy_nodes[id],structural_graph/node_types/structural_graph.md,"required: id, name"
2,Structural:Load Subdomains,csv/subdomains.csv,csv,taxonomy_node/folder_subdomain,dict,parse with parent reference,.docs/roadmap_to_full_production_ready/subdomains.csv,taxonomy_nodes[id],structural_graph/node_types/structural_graph.md,"required: id, name, parent"
3,Structural:Load Files,csv/files.csv,csv,taxonomy_node/file,dict,parse with node_type detection (.f marker),.docs/roadmap_to_full_production_ready/files.csv,taxonomy_nodes[id],structural_graph/node_types/structural_graph.md,"required: id, name, path; optional: required_concerns"
4,Structural:Build Hierarchy,taxonomy_nodes[dict],dict,taxonomy_nodes[dict],dict,compute depth_chain and ancestors_chain from parent relationships,None,taxonomy_nodes[n]["depth_chain"],structural_graph/node_types/structural_graph.md,depth must match chain length
5,Concerns:Load Domain Gaps,csv/domain_gaps/*.csv,csv,concern_node,list[dict],parse all CSVs into concern objects,.docs/roadmap_to_full_production_ready/domain_gaps/*.csv,taxonomy_nodes[id],concerns_graph/node_types/concerns_graph.md,"required: id, domain, severity"
6,Concerns:Link to Structural,concern_node + structural_nodes,dict,concern_edge,list[tuples],create affects edges: concern->structural,.docs/taxonomy_structure.json,taxonomy_edges[concern_id],concerns_graph/node_types/concerns_graph.md,"match by required_concerns or path in evidence"
7,Dependencies:Scan Modules,python_modules[src/*],ast,module_node,list[dict],AST parse for imports, map to taxonomy IDs,src/**/*.py,module_nodes,dependency_graph/node_types/dependency_graph.md,"exclude: .obsolete files"
8,Dependencies:Register Imports,module_nodes + taxonomy_nodes,dict,taxonomy_node/file,dict,populate depends_on and depended_by arrays,None,taxonomy_nodes[id],dependency_graph/node_types/dependency_graph.md,only implemented files
9,Tasks:Create Tasks,file_stub + concerns,dict,task_node,list[dict],transform stubs into tasks with priority,taxonomy_nodes[file_stub],tasks,tasks_graph/node_types/tasks_graph.md,status=not_started
10,Tasks:Load Bugs,csv/buggy_components/*.csv,csv,task_debug_node,list[dict],parse bug reports into debug tasks,.docs/roadmap_to_full_production_ready/buggy_components/*.csv,tasks["Task_Debug_*"],tasks_graph/node_types/tasks_graph.md,
11,System:Save Output,taxonomy_nodes + tasks,json,json/taxonomy_structure.json,json,persist all data,.docs/taxonomy_structure.json,.docs/taxonomy_structure.json,Mapped_Schemas.csv,"all node types included"
