"id","domain","category","title","description","severity","status","impact","dependencies","effort_estimate","proposed_solution","evidence","notes"
"SES-001","session_L5","missing_integration","ISessionLifecycle Not Integrated with SessionDispatcher","ISessionLifecycle.open() is never called during SessionDispatcher.dispatch() or SessionRegistry.register(). Sessions are created without lifecycle activation. lifecycle.close() is called indirectly via registry.unregister() -> _on_session_end() -> coordinator.close() -> lifecycle.close() but there is no direct open() path from the delivery path. Additionally, SessionRegistry.register() is responsible for session startup but does not call lifecycle.open().","high","open","Sessions have no default lifetime — ttl_seconds and idle_timeout_seconds are never enabled because SessionConfig from ISessionLifecycle is never passed through register()","OBS-003","M (3-7d)","Inject ISessionLifecycle into SessionDispatcher or SessionRegistry; call .open() with SessionConfig during register() and .refresh() per message and .close() on release_session(). Best solution: add lifecycle to SessionRegistry.register() instead of SessionDispatcher because it owns session startup.","session/session_registry.py:73-78 does not call lifecycle.open(); session/session_dispatcher.py:64-96 does not call lifecycle.open()/refresh()/close()"
"SES-002","session_L5","misleading_documentation","ICheckpointSync Adapters Exist But Not Wired in Production Assembly","Previous description was 'Not Backed by Storage' but this is inaccurate. Three complete implementations exist: CLISessionAdapter (files), InProcessSessionAdapter (memory), NetworkSessionAdapter (external storage). But the wiring in assembler.py never passes checkpoint_sync to SessionRegistry at all, so persist() will never be called in production. The gap is in wiring, not implementation.","high","open","No session persistence — any crash loses all checkpoints and sessions in production despite ready adapters","","M","Add checkpoint_sync to _build_session_registry() in assembler.py: pass appropriate instance (e.g. InProcessSessionAdapter or CLISessionAdapter) based on transport_type in config.","wiring/assembler.py:241-246 does not pass checkpoint_sync; session/adapters/ has three complete implementations but not wired"
"SES-003","session_L5","missing_integration","Session Timeout Not Enforced (TTL expiry missing)","SessionRegistry has evict_idle() that checks only idle_timeout and does not check ttl_seconds (created_at + ttl). Sessions that were recently active but whose total age exceeded TTL will never be evicted. Plus eviction_interval default (60s) means sessions stay up to 60 seconds past expiration.","high","open","Memory leak with accumulation of expired-but-active sessions.","medium","M","Extend evict_idle() to apply two conditions: (1) idle_timeout and (2) TTL — entry.created_at + entry.ttl < now. Reduce eviction_interval to 10-30s default.","session/session_registry.py:106-124 only checks idle_timeout not TTL; session_registry.py:47 default_ttl=3600 defined but not applied in eviction"
"SES-004","session_L5","missing_component","No Distributed Session Coordination","SessionRegistry/ SessionDispatcher are purely local — sessions cannot be shared across multiple fabric instances.","medium","open","Horizontal scaling impossible — each instance starts with fresh sessions and state cannot be distributed","","L","Add RedisSessionRegistry and RedisSessionDispatcher persisting session state in Redis with serialization via pickle/json; update ServiceDiscovery to point to Redis.","session/session_registry.py uses plain dict only"
"SES-005","session_L5","missing_test","No Tests for Any Session Component","No tests exist in tests/ or session/. All components (SessionRegistry, SessionDispatcher, SessionCoordinator, all three adapters, hooks, factory) are untested.","high","open","Cannot rely on any session logic — critical bugs (SES-007/008/009) will go undetected","OBS-003","M (3-7d)","Create unit and integration tests: (1) register/dispatch/resolve (2) failover with frozen DispatchContext (3) coordinator.handle_success/failure (4) full adapter lifecycle (5) eviction idle + TTL.","no test_session*.py files found in entire project tree; session_registry.py, session_dispatcher.py, coordinator.py, adapters/*.py all untested"
"SES-006","session_L5","design_flaw","PrunePolicy Never Applied from Orchestration Layer","Some adapters implement prune() (CLI calls it in close(), InProcess supports it) but SessionRegistry._on_session_end() never calls prune() at all. Instead it would call persist() which doesn't exist in ICheckpointSync. No auto-prune or manual trigger exists from orchestration layer. Checkpoints accumulate without limit.","medium","open","Checkpoints accumulate without limit — unbounded storage consumption in CLI and Network adapters","","S","Add checkpoint.prune() call inside _on_session_end() after persist() (or instead of it). Add scheduled prune task in SessionRegistry per PrunePolicy.","session/session_registry.py:172-181 does not call prune(); session/ICheckpointSync.py:44 PrunePolicy supported but unused from orchestration layer"
"SES-011","session_L5","missing_feature","TTL Expiry Not Checked in SessionRegistry.evict_idle()","SessionRegistry.evict_idle() only checks idle_timeout (idle time) and does not check TTL (created_at + ttl < now). Sessions that are recent but whose total age exceeded TTL will never be evicted. This makes default_ttl ineffective.","high","open","memory leak: old-age sessions that are not idle stay forever; default_ttl becomes useless","","S","Add TTL condition to evict_idle(): if now - entry.created_at > entry.ttl -> evict. Merge both conditions in same pass.","session/session_registry.py:106-124 only checks last_active not created_at+ttl; session_registry.py:47 default_ttl=3600 not applied in eviction logic"
"SES-012","session_L5","missing_integration","Assembler Never Wires checkpoint_sync into SessionRegistry","The assembler in _build_session_registry() never passes checkpoint_sync to SessionRegistry despite SessionRegistry supporting it. This means checkpoint persistence is not functional in production — _on_session_end() checks if self._checkpoint_sync: and will always find it None.","high","open","No session persistence — any crash loses all checkpoints and sessions in production; direct continuation of SES-002","OBS-003","M (3-7d)","Add checkpoint_sync to _build_session_registry() in assembler.py and use SessionFactory to create appropriate adapter based on transport_type.","wiring/assembler.py:241-246 (missing checkpoint_sync); wiring/factories/session_provider.py:18-19 (accepts checkpoint_sync but assembler does not pass it)"
"SES-013","session_L5","missing_integration","SessionRegistry.register() Never Calls lifecycle.open()","When registering a session in SessionRegistry.register(), a SessionEntry is created directly without calling lifecycle.open(). This means SessionConfig (ttl_seconds, idle_timeout_seconds, metadata) is never passed to ISessionLifecycle — the session starts without time setup. Also, ISessionLifecycle.open() which generates SessionID is never called during registration.","high","open","Sessions have no default lifetime — ttl_seconds and idle_timeout_seconds are never enabled; SessionConfig is useless","SES-001","M (3-7d)","Inject ISessionLifecycle into SessionRegistry and call lifecycle.open(config) inside register() before creating SessionEntry. Use SessionConfig from SessionEntry to configure lifecycle.","session/session_registry.py:63-81 register() does not call lifecycle.open(); session/ISessionLifecycle.py:19-23 open() assumed to be called at session start"
"SES-016","session_L5","missing_feature","No Tests for Session Components (Coordinator/Adapters/Hooks)","In addition to SES-005 (focused on registry and dispatcher) there are no tests for SessionCoordinator or the three adapters or retry hooks. This leaves 5 critical bugs (SES-007/008/009/010/013) without protection.","high","open","5 critical bugs undetected; cannot refactor safely; no coverage for core adapters","SES-005","M (3-7d)","Create test_session_coordinator.py and test_adapters.py and test_hooks.py covering: handle_success/failure, restore_checkpoint, adapter lifecycle for each transport_type, prunepolicy, retry decisions.","no test files in tests/ or session/ for components mentioned in __init__.py"
