id,domain,component,description,severity,dependencies,effort_estimate,proposed_solution,belong_to_existing_file,file_ID,New_component,appropriate_location
SES-001,session_L5,ISessionLifecycle Integration,ISessionLifecycle.open() is never called during SessionDispatcher.dispatch() or SessionRegistry.register(). Sessions are created without lifecycle activation. lifecycle.close() is called indirectly via registry.unregister() -> _on_session_end() -> coordinator.close() but there is no direct open() path from the delivery path.,vital,OBS-003,3-7d,Inject ISessionLifecycle into SessionRegistry or SessionDispatcher; call .open() with SessionConfig during register() and .refresh() per message,true,0.3.8.f session_registry.py,false,
SES-002,session_L5,ICheckpointSync Production Wiring,Three complete adapter implementations exist (CLISessionAdapter / InProcessSessionAdapter / NetworkSessionAdapter) but assembler.py's _build_session_registry() does not pass checkpoint_sync to SessionRegistry. persist() will never be called in production despite ready adapters.,critical,--,M,Pass checkpoint_sync to _build_session_registry() in assembler.py using appropriate adapter per transport_type,true,0.6.1.f assembler.py,false,
SES-003,session_L5,TTL Expiry Enforcement in EvictIdle,SessionRegistry.evict_idle() only checks idle_timeout (last_active threshold) and never checks ttl_seconds (created_at + ttl). Sessions past their absolute TTL remain indefinitely. Default eviction_interval of 60s adds delay.,critical,--,M,Extend evict_idle() with TTL condition: entry.created_at + entry.ttl < now. Reduce eviction_interval to 10-30s,true,0.3.8.f session_registry.py,false,
SES-004,session_L5,Distributed Session Coordination,SessionRegistry and SessionDispatcher are purely local using in-memory dict. Sessions cannot be shared across multiple fabric instances. Horizontal scaling impossible.,medium,--,L,Add RedisSessionRegistry and RedisSessionDispatcher persisting session state in Redis with pickle/json serialization,false,0.3.9.f redis_registry.py,true,session/
SES-005,session_L5,Session Component Tests,No unit or integration tests exist for any session component: SessionRegistry, SessionDispatcher, SessionCoordinator, all three adapters, hooks, or the factory.,high,OBS-003,3-7d,Create comprehensive test suite: (1) register/dispatch/resolve (2) failover with frozen DispatchContext (3) coordinator.handle_success/failure (4) full adapter lifecycle (5) eviction idle + TTL,false,TST-0.12.f test_session.py,true,tests/
SES-006,session_L5,PrunePolicy Orchestration,SessionRegistry._on_session_end() never calls checkpoint.prune(). Some adapters implement prune() (CLI calls it in close(), InProcess supports it) but no auto-prune or manual trigger exists from the orchestration layer. Checkpoints accumulate without limit.,medium,--,S,Add checkpoint.prune() call inside _on_session_end() after persist(). Add scheduled prune task in SessionRegistry per PrunePolicy,true,0.3.8.f session_registry.py,false,
SES-011,session_L5,TTL Expiry Not Checked in EvictIdle (dup SES-003),SessionRegistry.evict_idle() checks only idle_timeout. Sessions with recent activity but total age exceeding TTL are never evicted. default_ttl=3600 is completely ineffective.,high,--,S,Add TTL condition to evict_idle(): now - entry.created_at > entry.ttl. Merge both conditions in same pass,true,0.3.8.f session_registry.py,false,
SES-012,session_L5,Assembler checkpoint_sync Wiring (dup SES-002),assembler.py _build_session_registry() does not pass checkpoint_sync to SessionRegistry despite session_provider factory fully supporting it. _checkpoint_sync remains None in production.,high,OBS-003,3-7d,Pass checkpoint_sync to _build_session_registry() using SessionFactory to create appropriate adapter per transport_type,true,0.6.1.f assembler.py,false,
SES-013,session_L5,Lifecycle.open() Not Called in Register (dup SES-001),SessionRegistry.register() creates SessionEntry directly without calling lifecycle.open(). SessionConfig (ttl_seconds, idle_timeout_seconds, metadata) is never passed to ISessionLifecycle. SessionConfig is useless.,high,SES-001,3-7d,Inject ISessionLifecycle into SessionRegistry and call lifecycle.open(config) inside register() before creating SessionEntry,true,0.3.8.f session_registry.py,false,
SES-016,session_L5,Coordinator/Adapter/Hook Tests (dup SES-005),No test coverage for SessionCoordinator, the three adapters (CLI/InProcess/Network), or retry hooks. Leaves 5 critical bugs (SES-007/008/009/010/013) undetected.,high,SES-005,3-7d,Create test_session_coordinator.py, test_adapters.py, test_hooks.py covering handle_success/failure, restore_checkpoint, adapter lifecycle, PrunePolicy, retry decisions,false,TST-0.13.f test_session_coordinator.py,true,tests/
