id,domain,category,title,description,severity,status,impact,dependencies,effort_estimate,proposed_solution,evidence,notes
DEV-001,devops,missing_component,No Dockerfile for FabricService,Dockerfile template exists in src/Docker.md but it's not a standalone Dockerfile file — lacks requirements.txt and CMD uses uvicorn main:app while main.py does not define app,high,open,Cannot deploy fabric in containerized environment; docker build fails without requirements.txt and main:app,DEV-007,S,Create actual Dockerfile in root: Python 3.11 slim → install dependencies from requirements.txt → copy src/ and fix CMD to run main.py via asyncio,src/Docker.md:1-31 contains non-executable Dockerfile,CMD needs to use python -m main or create an ASGI app object
DEV-002,devops,missing_component,No docker-compose.yml,docker-compose.yml template only exists inside src/Docker.md but not as a standalone file in the root — no ability to run dependent services,high,open,Integration tests cannot be run and developer needs to manually create full topology,"DEV-001, TST-003",S,"Create actual docker-compose.yml with fabric-service, redis, optional actor_service",src/Docker.md:36-67 contains non-usable compose,Needs DEV-001 executable Dockerfile first
DEV-003,devops,missing_component,No CI/CD Pipeline,"No GitHub Actions, Jenkinsfile, or any CI exists — no automation for testing or deployment",high,open,Any merge happens without tests — zero quality assurance and risk of breaking production,"TST-001, TST-002, DEV-001, DEV-007",M,Create GitHub Actions workflow: lint → typecheck → unit tests → integration tests → build image,,Needs DEV-001 and DEV-007 first
DEV-004,devops,missing_config,No Runtime Configuration Schema,No schema for YAML configuration — transport_example.yaml is good but any wrong config causes silent runtime failure that cannot be detected before runtime,medium,open,Configuration errors only detected at runtime with no pre-validation,DEV-001,M,Create Pydantic schema for each config and JSON Schema for YAML; add ConfigValidator before load_config,"src/wiring/config/loader.py, src/wiring/config/transport_example.yaml",
DEV-005,devops,incomplete_implementation,Partial Graceful Shutdown / Signal Handling,AppRunner in runner.py implements full signal handlers (SIGINT/SIGTERM) with Windows fallback and reverse close via FabricClient.close() — but main.py does not import AppRunner making graceful shutdown inaccessible,high,in_progress,"Unclean shutdown — data loss, stuck sessions, resource leaks because main.py lacks AppRunner import",,XS,Add from wiring.runner import AppRunner to main.py to link existing implementation to entry point,src/wiring/runner.py:62-78 implements handlers; src/main.py:23 missing import,runner.py is ready — issue is only in main.py import
DEV-006,devops,missing_component,No Versioning Strategy for Internal APIs,No strategy to document and version the ICommunicationGateway contract — no __version__ or CHANGELOG,low,open,Contract changes break all consumers without warning or migration period,,XS,Add __version__ to contracts and document breaking changes in CHANGELOG,src/wiring/contracts/communication_gateway.py,
DEV-007,devops,missing_component,Missing requirements.txt,No file to install dependencies — Docker.md assumes requirements.txt exists but the file is completely missing from the project,critical,open,"Prevents final Docker image build, breaks package installation, and breaks any CI/CD environment",,S,"Create requirements.txt listing actual project dependencies (asyncio, PyYAML, etc.)",Docker.md:9 references COPY requirements.txt but it does not exist,"Blocker for DEV-001, DEV-002, DEV-003"
DEV-008,devops,missing_component,Missing pyproject.toml / setup.py,No Python package file exists — project cannot be installed as package or deployed or version managed,medium,open,Cannot pip install -e . or deploy as package or run tests easily with pytest,DEV-007,M,Create pyproject.toml with metadata and dependencies using setuptools or poetry,,
DEV-009,devops,bug,Broken AppRunner import in main.py,main.py calls AppRunner.run() on line 23 but AppRunner is not imported — causes immediate NameError on execution,critical,open,Application does not work on run — NameError prevents service startup entirely,DEV-005,XS,Add from wiring.runner import AppRunner to top of main.py,src/main.py:23 uses AppRunner without import,Must be solved with DEV-005
DEV-010,devops,missing_config,No .gitignore,No .gitignore exists — __pycache__ and .pyc files are pushed to repo causing repo bloat,low,open,.pyc files and __pycache__ directories appear in repo causing noise in reviews and unnecessary diffs,,XS,Create .gitignore that ignores __pycache__/ and *.pyc and .env and .venv and *.egg-info,glob results show .pyc files in repo,
