"id","domain","category","title","description","severity","status","impact","dependencies","effort_estimate","proposed_solution","evidence","notes"
"TRN-001","transport_L4","missing_component","No TLS/mTLS in Transporters","All Transporters (TCP,UDS,WebSocket,Subprocess) send plain text without encryption — feature required for Gateway Mode and inter-container traffic","high","open","All traffic between services is exposed — Gateway Mode cannot be used safely; even WebSocket does not truly support wss:// with TLS","TRN-001 requires TLS for secure inter-container traffic","M","Add ssl_context parameter to BaseTransporter.__init__() and modify TCPTransporter, UDSTransporter, WebSocketTransporter to use asyncio.start_server/TLS with wrap_socket","wiring/factories/transport_provider.py:55-60 does not pass ssl_context; transport/tcp.py:64-65 asyncio.open_connection() without ssl_context; transport/websocket.py:63-64 same issue","All transport types need TLS support"
"TRN-002","transport_L4","missing_component","No Transport-Level Backpressure","No mechanism to limit sending rate when receiver is congested — buffer may overflow in memory during heavy load especially with layered composition (Composite -> multiple children)","high","open","OOM risk under heavy load — especially with SSE/streaming and Composite BROADCAST (all channels receive simultaneously)","","L","Add BackpressureStrategy to TransportConfig with throttle/callback/pause-resume based on buffer_size or ack latency; apply limits on asyncio.Queue in _merge_parallel_streams","No backpressure in transport/base.py or transport/config.py","Critical for high-throughput scenarios"
"TRN-003","transport_L4","missing_component","No Keep-Alive / Heartbeat for TCP/UDS (WS has it)","WSKeepAlivePolicy exists in _ws_keepalive.py for WebSocketTransporter — but TCPTransporter and UDSTransporter have no heartbeat mechanism; long-lived TCP connections may be silently closed by kernel/proxy","medium","open","long-lived TCP and UDS connections may drop silently without detection","TRN-001 (TLS improves connection stability)","S","Add setsockopt to enable TCP_KEEPALIVE + TCP_KEEPIDLE/TCP_KEEPINTVL or add optional HeartbeatConfig to BaseTransporter; UDS does not have kernel-level keepalive — needs special solution (simple ping frames)","transport/_ws_keepalive.py exists but not used for TCP/UDS; not tested anywhere",
"TRN-004","transport_L4","missing_component","No Zero-Copy Path for Large Payloads","Every byte passes through serialize->compress->channel and back — no memory-mapped or file descriptor passing for large payloads (>100MB) causes GC pressure especially with Composite BROADCAST that replicates payload across N channels","medium","open","Files larger than 100MB consume duplicate memory and cause GC pressure","LargePayloadHandler","L","Add optional LargePayloadHandler that detects >threshold and reads/writes from temporary file or mmap instead of RAM; pass file descriptor via UDS as immediate solution for same-device","transport/uds.py:87 uses writer.write(payload + b\\n\\") which is simple but not zero-copy",
"TRN-005","transport_L4","missing_test","Transporter Implementations Not Tested","TCPTransporter, UDSTransporter, InProcessTransporter, SubprocessTransporter, WebSocketTransporter — imports succeed but send()/stream()/serve()/close() functions have never been tested","high","open","High risk of runtime errors on first real use — especially WebSocketTransporter which has structural bugs","TST-001","L","Create unit tests for each Transporter with mock socket/asyncio streams; test connect,fail,retry,close for each type; test WebSocketTransporter with HTTP upgrade mocking","transport/tcp.py and transport/uds.py and transport/websocket.py and others","No test files exist for any transporter",
"TRN-006","transport_L4","missing_test","CompositeTransporter Not Tested (but wired)","CompositeTransporter IS wired in factory.py via _build_composite() — creates it with children correctly and supports all strategies. But it is untested and not used in any real pipeline","low","open","Cannot use multiple transport strategies without testing composite logic; risk lower because code appears structurally correct","TST-001","S","Write test to verify CompositeTransporter correctly routes to sub-transporters and isolates errors; test FALLBACK/PARALLEL/BROADCAST strategies","transport/composite.py exists and used in factory.py but without tests","Lower priority but still needed for reliability",
"TRN-007","transport_L4","missing_integration","RetryEngine IS Wired to All Transporters (gap CLOSED)","RetryEngine is fully wired to all Transporters: TCP/UDS/InProcess/Subprocess/WebSocket all check self.retry_engine in send() and stream() and it is passed via __init__; factory always creates RetryEngine and passes it. This gap is closed — see TRN-009, TRN-010, TRN-011 for real breakable bugs","resolved","closed","Confirmed: every transporter uses retry_engine if available; factory always passes it","No runtime issue","None","No changes required — issue already resolved","transport/tcp.py:128-133, tcp.py:138-145; retry.py complete and wired; build_retry_decision_hook stub exists but not used",
"TRN-008","transport_L4","incomplete_implementation","TransportConfig Fields Not All Used (ContextDefaults unused)","ContextDefaultsConfig (default_ttl_seconds, idle_timeout_seconds, offset_granularity, metadata_template) are not used anywhere — not passed to transporter, not passed to DeliveryReport, not passed to Channel. Also channel.headers and channel.max_message_size and channel.subprotocols are unused in transporters","medium","open","Transport YAML config does not actually affect behavior for context defaults; can configure WS options that are not applied","OBS-003","S","Review TransportConfig and all transporter constructors to ensure all fields are passed; either use ContextDefaults when building TransportContext or remove them if unnecessary","transport/config.py contains the fields; transport/factory.py does not use them","Configuration drift from expectations",
"TRN-009","transport_L4","missing_component","WebSocketTransporter EXISTS but Has CRITICAL BUGS","WebSocketTransporter exists in transport/websocket.py with WSFramingEngine and WSKeepAlivePolicy — but contains structural bugs making it unrunnable: (1) _ensure_connection() has indentation error making except inside try block, (2) dead code lines 70-72 never executes, (3) dangerous recursiveness line 73 may cause infinite recursion, (4) serve() uses TCP start_server without HTTP upgrade handshake — not WS-protocol compatible","high","open","WebSocketTransporter will fail at runtime on first attempt; serve() crashes and client waits forever for HTTP upgrade","PRT-004 (ProtocolHandler)","M","Rewrite _ensure_connection() to fix indentation and remove recursion; implement HTTP upgrade handshake in _handle_client before reading WS frames; add basic tests","transport/websocket.py lines 59-73 invalid for runtime; transport/__init__.py does not export WebSocketTransporter despite existence",
"TRN-010","transport_L4","bug","InProcessTransporter TransportError Constructor Bug","All `raise TransportError(...)` calls in inprocess.py pass `type(self).__name__` (string) as first argument — but TransportError expects ErrorType enum as first argument. This causes TypeError at runtime on any InProcessTransporter error","high","open","Any error in InProcessTransporter causes TypeError instead of classified TransportError — breaks InProcessTransporter completely","No dependency","S","Fix all TransportError calls in inprocess.py to pass ErrorType.TRANSIENT or ErrorType.PERMANENT instead of type(self).__name__","transport/inprocess.py lines 48-52, 65-69, 90-94, 97-102, 107-111, 128-131, 148-150, 161-163 — all contain same bug","Blocks InProcessTransporter usage",
"TRN-011","transport_L4","missing_component","SubprocessTransporter Missing serve() for INBOUND","SubprocessTransporter does not implement serve() — no INBOUND direction support via subprocess. Base class raises NotImplementedError.","medium","open","Cannot create Subprocess as inbound server — limits CLI as receive service","No dependency","S","Add serve() to SubprocessTransporter that reads from stdin continuously and returns responses via stdout — process-per-request or process-pool with keep-alive pattern","serve() exists in TCP/UDS/InProcess/WebSocket/Composite — Subprocess only one missing support","Needed for CLI gateway mode",
"TRN-012","transport_L4","missing_component","WebSocketTransporter Not Exported from __init__.py","transport/__init__.py does not export WebSocketTransporter nor WSKeepAlivePolicy nor WSFramingEngine — despite existing in websocket.py. Factory imports them directly (inside function)","medium","open","Users cannot import WebSocketTransporter directly — IDE discovery broken","No dependency","S","Add WebSocketTransporter and WSKeepAlivePolicy and WSFramingEngine to __init__.py and __all__","transport/__init__.py does not include them,",""
"TRN-013","transport_L4","bug","UDS Newline-Delimited Framing Fragile for Binary","UDS uses newline-delimited framing (b\\n) to delimit messages — any payload containing \\n within data will truncate the message. TCP uses length-prefixed safely while UDS does not","low","open","Binary payloads cannot be transferred safely via UDS — silent errors may cause corrupted messages","No dependency","S","Change UDS to length-prefixed framing (like TCP: struct.pack + length header) with backward compatibility or explicit framing config","transport/uds.py:87 uses writer.write(payload + b\\n\\") which fails on binary \\n","Needs backward compatibility consideration",
"TRN-014","transport_L4","design","Channel.open() Accesses Private _ensure_connection","Channel.open() calls transporter._ensure_connection() directly — this breaks encapsulation and makes Channel tied to private method existing in each Transporter (not part of BaseTransporter interface)","low","open","If a new Transporter is added without _ensure_connection, Channel.open() fails silently without opening the channel","No dependency","S","Add open() method to BaseTransporter (or async __aenter__) called by Channel instead of private method","transport/channel/channel.py:58-59","Design improvement for extensibility",
