"id,domain,category,title,description,severity,status,impact,dependencies,effort_estimate,proposed_solution,evidence,notes"
"PRS-001,presentation_L6,missing_component,Only JSON Serializer Exists,'JsonSerializer' موجود فقط ولا يقبل إلا Pydantic BaseModel — لا Protobuf, لا MsgPack, لا CBOR, لا Avro — يحد من سيناريوهات gRPC و inter-language,medium,open,'gRPCRequest' موجود في request_types.py لكن لا يوجد codec ينفذ Protobuf;JSON أبطأ وأكبر حجماً من البدائل الثنائية,PRS-010 (SSE fields),م (3-7d),إضافة MsgPackSerializer و ProtobufSerializer كخيارات;توسيع SerializerType enum في config;فك ارتباط JsonSerializer من BaseModel لدعم dict/str,json_serializer.py:54-57 يرفض non-BaseModel في serialize;json_serializer.py:83-86 يطلب BaseModel في deserialize;request_types.py:49 'payload يُحوّل لـ Protobuf عبر L6 codec مستقبليًا',"
"PRS-002,presentation_L6,missing_test,SSEStreamCodec Never Tested with Real Streams,SSEStreamCodec موجود لكن not tested — encode_stream() decode_stream() _parse_sse_frame() لم تُختبر مع chunks حقيقية. أيضاً لا اختبارات لبقية مكونات L6 (JsonSerializer CompressionAdapter PresentationPipeline presentation_provider),high,open,SSE protocol يعتبر critical لـ LLM streaming — أخطاء في parsing تسبب تجربة مستخدم سيئة;صفر% تغطية اختبارية لطبقة L6 كاملة,TST-001,S,إنشاء اختبارات: (1) encode→decode roundtrip (2) chunked delivery reassembly (3) multiple data: lines (4) non-JSON fallback (5) empty stream (6) serialization roundtrip لكل codec (7) pipeline encode/decode/encode_stream/decode_stream,لا يوجد أي ملف test_*.py يختبر presentation/ تحت tests/ أو أي مسار آخر,"
"PRS-003,presentation_L6,design_flaw,No Adaptive Compression,CompressionAdapter يدعم gzip/zstd فقط بخوارزمية ثابتة عند init — لا يختار algorithm ديناميكيًا حسب content type أو حجم الحمولة,low,open,قد يستخدم zstd لملفات HTML قابلة للضغط بدرجة عالية (أسرع من gzip) لكن لا يتم;خسارة فرصة تحسين أداء بنسبة 20-50% حسب نوع البيانات,PRS-008 (fixed algorithm decompression),M,إضافة ContentTypeAnalyzer يقرأ magic bytes أو content-type header ويختار algorithm + level optimalين;إضافة Snappy لـ latency-critical paths,compression.py:33-39 خوارزميتان فقط بقيمة ثابتة (algorithm + level) لا تتغير ديناميكيًا;pipeline.py:70-74 _should_compress يتحقق من الحجم فقط ولا يؤثر على اختيار algorithm,"
"PRS-004,presentation_L6,missing_component,No Charset Normalization,charset موجود في PipelineConfig (utf-8 default) لكنه يُستخدم فقط في encode_stream bypass mode (سطر 142). لا يوجد تحويل encoding تلقائي عند استقبال بيانات Shift-JIS أو Latin-1,medium,open,إذا أرسل client Shift-JIS أو Latin-1 الـ pipeline لا يحوّلها — قد يصل garbage إلى L5/Session;sse_stream_codec يستخدم errors='replace' مما يسبب فقدان بيانات صامت,PRS-005,م (2-4d),إضافة chardet detection + iconv/conversion بين ترميز المصدر و utf-8;يمكن تعطيلها عبر config;ربط charset بالـ sse_stream_codec decode,pipeline.py:30 charset=default('utf-8') لكن لا يُستخدم أبداً في decode/encode العادي;pipeline.py:142 الاستخدام الوحيد في bypass encode_stream;sse_stream_codec.py:81 errors='replace' يخفي مشاكل encoding,"
"PRS-005,presentation_L6,design_flaw,StreamCodec and Serializer Coexistence Ambiguous,PresentationPipeline يقبل serializer و stream_codec معًا لكن ليس واضحًا أيهما يُستخدم في encode_stream/decode_stream — المنطق في encode_stream (سطور 148-161) يتجاوز serializer تماماً إذا وُجد codec. decode_stream (سطر 183) يمرر target_type=Any لـ serializer.deserialize مما يسبب crash مع JsonSerializer,high,open,ربط خاطئ قد يؤدي إلى double-serialization أو تخطي compress تماماً;decode_stream يتعطل حتماً مع JsonSerializer عند استخدام serializer فقط بدون codec بسبب target_type=Any,PRS-004,م (2-3d),توثيق strategy واضح: (1) إذا stream_codec موجود → هو المسؤول عن framing و serializer يُستخدم داخلياً لكل عنصر (2) إذا serializer فقط → stream_codec يغلف serialize في كل عنصر (3) إصلاح target_type=Any في decode_stream ليتجنب crash مع JsonSerializer,pipeline.py:148-161 encode_stream يتجاوز serializer.serialize(obj) تماماً عندما codec truthy (line 152);pipeline.py:183 decode_stream يمرر target_type=Any لكن JsonSerializer.deserialize يتطلب BaseModel subclass;سطر CSV السابق رقم 7 كان استمرارية خاطئة لهذا السجل - أصلحناها,"
"PRS-006,presentation_L6,incomplete_implementation,No Stream-Level Compression,PresentationPipeline.encode_stream لا يضغط الإطارات الفردية (يضغط الرسائل فقط في encode/decode) — التدفقات ترسل بدون ضغط رغم أن decode_stream يحاول فك الضغط,medium,open,SSE و streaming APIs يرسلون نصًا غير مضغوط — كفاءة نقل منخفضة;عدم تناظر: encode_stream لا يضغط لكن decode_stream يحاول فك الضغط,PRS-008,م (3-5d),إضافة ضغط على مستوى الإطار (per-chunk) أو مستوى التدفق (per-stream) في encode_stream مع الإعلان عن algorithm في header SSE أو metadata;مزامنة encode مع decode,pipeline.py:138-161 encode_stream لا يستخدم self.compressor أبداً;pipeline.py:177 decode_stream يحاول self.compressor.decompress(frame) لكن encode_stream لم تضغط الإطارات أصلاً — عدم تناظر,"
"PRS-007,presentation_L6,design_flaw,JsonSerializer BaseModel Constraint Breaks decode_stream,JsonSerializer.serialize يرفض non-BaseModel و JsonSerializer.deserialize يطلب target_type ك subclass من BaseModel — هذا يسبب crash في decode_stream (سطر 183) الذي يمرر target_type=Any,high,open,'PresentationPipeline.decode_stream' يتعطل عند استخدام serializer فقط بدون codec لأن target_type=Any لا يمر issubclass check في json_serializer.py:83;يمنع تمرير dict/list/str عادية عبر pipeline,PRS-001,م (1-2d),تعديل JsonSerializer ليقبل dict (عبر json.dumps/loads) مع الاحتفاظ بدعم BaseModel عبر model_dump_json/model_validate_json;تصحيح pipeline.py:183 لاستخدام type() أو تمرير None مع fallback,json_serializer.py:54-57 'if not isinstance(obj, BaseModel): raise';json_serializer.py:83-86 'if not issubclass(target_type, BaseModel): raise';pipeline.py:183 'yield self.serializer.deserialize(data, target_type=Any)',"
"PRS-008,presentation_L6,design_flaw,CompressionAdapter Decompression Fixed Algorithm,CompressionAdapter.decompress يستخدم self.algorithm دائمًا ويتجاهل magic bytes الفعلية للبيانات — إذا ضغطت رسالة بـ gzip لكن CompressionAdapter مهيأ لـ ZSTD فإن فك الضغط يفشل أو ينتج بيانات تالفة,high,open,تلف بيانات صامت أو فشل decompression;pipeline.decode (سطر 125-127) يتحقق magic bytes لمعرفة 'هل' البيانات مضغوطة لكنه لا يختار algorithm المناسب — يعتمد على self.compressor.algorithm,PRS-003,م (2-3d),إضافة auto-detect algorithm في CompressionAdapter.decompress عبر فحص magic bytes (gzip: 1f8b zstd: 28b52ffd) واختيار method الصحيح تلقائياً;إزالة اعتماد decompress على self.algorithm,compression.py:54-67 decompress يستخدم self.algorithm مباشرة دون فحص magic bytes;pipeline.py:43-44 _MAGIC_GZIP و _MAGIC_ZSTD معرفان لكن لا يُستخدمان لاختيار algorithm في decompression,"
"PRS-009,presentation_L6,missing_test,Zero Unit Tests for Entire L6 Layer,لا يوجد أي اختبار unit أو integration لـ JsonSerializer SSEStreamCodec CompressionAdapter PresentationPipeline presentation_provider ولا حتى test file واحد يغطي presentation/,high,open,صفر% تغطية اختبارية لأي codec أو pipeline — تغيير بسيط قد يكسر serialization أو streaming دون اكتشاف;PRS-002 يغطي SSE فقط لكن المشكلة أشمل,PRS-002,م كبير (5-10d),إنشاء suite شامل: (1) JsonSerializer roundtrip مع BaseModel/dict (2) SSEStreamCodec encode→decode مع chunks حقيقية وتأخير (3) CompressionAdapter gzip+zstd roundtrip + auto-detect (4) PresentationPipeline encode/decode/encode_stream/decode_stream بكل combinations (5) presentation_provider لكل direction (6) bypass mode tests (7) edge cases: empty/None/malformed/large data,glob لـ test*.py تحت src/ لا يُرجع أي ملفات presentation;tests/ يحتوي فقط على test_live_protocol_switch.py الذي لا يختبر L6;.docs/usage_integration_examples/tests/ لا يختبر أي codec مباشر,"
"PRS-010,presentation_L6,missing_component,SSEStreamCodec Drops Event/ID/Retry Fields,SSEStreamCodec يعالج فقط data: fields ويتجاهل event: id: retry: — encode_stream لا يصدرها decode_stream لا يقرؤها — هذا يحد التوافق مع EventSource API القياسي,medium,open,عدم توافق مع متصفحات و SSE clients القياسية;لا يمكن توجيه أحداث مختلفة (chat.completion vs error) عبر SSE event types,PRS-002,م (2-3d),إضافة دعم event:/id:/retry: في encode_stream (معامل event_type/event_id) و decode_stream (_parse_sse_frame يجمع كل الحقول في dict موحد مع مفتاح data) مع الاحتفاظ ب backward compatibility,sse_stream_codec.py:49 يصدر فقط 'data: ...\n\n' دون event:/id:/retry:;sse_stream_codec.py:86-93 _parse_sse_frame يجمع فقط lines.startswith('data:') ويتجاهل الحدود الأخرى,"
"PRS-011,presentation_L6,bug,Bypass Mode encode_stream Crashes on Non-String Non-Bytes Objects,عند bypass في encode_stream (سطر 142) يحاول chunk.encode(charset) لكل chunk غير bytes — هذا يتعطل إذا كان chunk من نوع dict/list/int/None,medium,open,إذا استخدم INPROCESS direction مع encode_stream على تدفق غير bytes (مثلاً dict chunks) → AttributeError: 'dict' object has no attribute 'encode' — تطبيق bypass غير مكتمل,pipeline.py:141-143 'yield chunk if isinstance(chunk, bytes) else chunk.encode(self.config.charset)' يفترض أن non-bytes هو str دائماً,م (1d),إضافة isinstance(chunk, str) check مع json.dumps fallback للـ non-str types;أو رفع PresentationError بواضح مع اقتراح استخدام serializer في غير bypass,"
"PRS-012,presentation_L6,design_flaw,encode_stream Wraps Each Item in Individual Async Generator,encode_stream يلف كل كائن بـ _single_item_stream ويمرره لـ codec.encode_stream مما يخلق N async generators منفصلين (واحد لكل عنصر) بدلاً من تمرير stream الأصلي مباشرة,low,open,عبء إضافي لإنشاء async generator وتدميره لكل عنصر — يقلل efficiency للتدفقات الطويلة (ملايين العناصر);قد يمنع codec من رؤية stream كامل للتجميع أو التخزين المؤقت,pipeline.py:156 codec.encode_stream(self._single_item_stream(raw)) لكل عنصر;pipeline.py:189-192 _single_item_stream ينتج عنصراً واحداً ثم يغلق,م (2-3d),إزالة _single_item_stream وتمرير obj_stream مباشرة لـ codec.encode_stream بعد optional serialization;تعديل توقيع encode_stream ليدعم pre-processing لكل عنصر داخل codec نفسه إذا احتاج serialization,"
