"id","domain","category","title","description","severity","status","impact","dependencies","effort_estimate","proposed_solution","evidence","notes"
"NET-001","network_L3","missing_integration","CircuitBreaker Not Wired","AsyncCircuitBreaker exists and is built via build_circuit_breaker but is not used or injected into any channel_pool or router — additionally, record_success()/record_failure() are private methods (not public) making external integration impossible","high","open","No protection from cascade failures — a single channel failure can overwhelm the system; external integration impossible due to lack of public record methods","","M","Add public record_success and record_failure methods to AsyncCircuitBreaker; wire CircuitBreaker around AsyncChannelPool.acquire(); call .record_success()/.record_failure() after each send in the upper layer; modify build_channel_pool to accept optional circuit_breaker","network/resilience/circuit_breaker.py:45-58; wiring/factories/network_provider.py build_circuit_breaker unused; circuit_breaker._record_success() and _record_failure() are private and cannot be called externally",""
"NET-002","network_L3","missing_integration","DNSResolver Not Used by Assembler","StandardDnsResolver is built via factory but CommunicationFabricAssembler does not use it — endpoint resolution is disconnected","medium","open","service discovery ineffective — endpoints are hardcoded in config and not resolved dynamically","","S","Inject dns_resolver into SessionRouterAdapter so any missing channel gets DNS-resolved before failure","network/adapters/dns_resolver.py exists; wiring/factories/network_provider.py exports DNSResolver but not used",""
"NET-003","network_L3","missing_integration","ConfigResolver Not Used by Assembler","ConfigServiceResolver is built but not wired — services defined in YAML do not actually affect routing","medium","open","YAML service configuration does not actually affect routing — discrepancy between docs and reality","","S","Inject config_resolver into SessionRouterAdapter as fallback source for endpoints","network/adapters/config_resolver.py exists; wiring/factories/network_provider.py exports ConfigResolver but unused",""
"NET-004","network_L3","missing_test","LoadBalancer Strategies Untested","RoundRobinStrategy and LeastActiveStrategy have select() functionality but no tests with real channel pool — plus RoundRobinStrategy has lock (asyncio.Lock()) that is never used","medium","open","Cannot guarantee correct load distribution under concurrency; unused lock causes maintenance confusion","TRN-005; TST-001","S","Write tests: (1) RoundRobin distributes evenly across 3 channels (2) LeastActive selects least loaded (3) unhealthy channel filtering (4) remove unused lock or use it properly in select()","network/algorithms/round_robin.py:16-28; asyncio.Lock created in __init__ and never used in select()",""
"NET-005","network_L3","design_flaw","No Weighted or Adaptive Routing","Only two algorithms available (round_robin, least_active) — no Weighted Round Robin, no Latency-Aware, no Random","low","open","In production you may need channels with different capacities (c1=100rps, c2=10rps) — equal distribution not suitable","","M","Add WeightedRoundRobinStrategy and RandomStrategy to algorithms/; expand ILoadBalancerStrategy to support weights","network/protocol.py ILoadBalancerStrategy",""
"NET-006","network_L3","missing_component","No Channel Health Probing","AsyncChannelPool does not periodically probe channel health — router may select a dead channel; current health_check() only cleans dead channels without sending pings","high","open","Sending messages to dead channels causes TransportError even with circuit breaker","","M","Add PeriodicHealthChecker to monitor channels via send/receive health ping at each interval; update is_healthy in ChannelRef; current health_check() does not check liveness but only cleans dead channels","network/adapters/pool_adapter.py:68-87",""
"NET-007","network_L3","missing_component","No Connection Pool Retry / Timeout","AsyncChannelPool.acquire() calls TransportFactory.create_channel() without asyncio.wait_for() — transient failures or connection hangs cause acquire() to hang forever; no connect_retry","high","open","acquire() hanging forever prevents whole pool from working; transient connection failures cause request failure","OBS-003; TRN-007","M","Add connect_timeout (via asyncio.wait_for()) and connect_retry_count to AsyncChannelPool.__init__() and acquire(); severity should be high because pool can hang forever without timeout","network/adapters/pool_adapter.py:49; create_channel() unprotected by timeout",""
"NET-008","network_L3","bug","RoundRobinStrategy Lock Never Acquired","asyncio.Lock is created in __init__ line 16 but never used in select() lines 18-31 — self._index += 1 is not protected","medium","open","self._index += 1 is not thread-safe under concurrency (race conditions); misleading code implies protection that doesn't exist","","S","Either use lock properly in select() or remove lock entirely to simplify code","network/algorithms/round_robin.py:16; self._lock created but never used",""
"NET-009","network_L3","bug","SessionRouterAdapter Hardcodes ChannelState String Values","resolve() line 38 compares channel.state.value in (\"active\" \"connecting\") instead of using ChannelState.ACTIVE and ChannelState.CONNECTING","medium","open","If ChannelState enum values change, routing breaks silently without compile-time error","","S","Replace string comparison with channel.state in (ChannelState.ACTIVE, ChannelState.CONNECTING)","network/adapters/router_adapter.py:38",""
"NET-010","network_L3","design_flaw","network/protocol.py Duplicate / Dead Imports","network/protocol.py contains duplicate imports (lines 15-17) and a stale comment \"# network/protocol.py (added section only)\"","low","open","Pollutes namespace with unused imports; confuses code readers","","S","Remove lines 15-17 (duplicate imports and stale comment)","network/protocol.py:15-17",""
"NET-011","network_L3","design_flaw","ConfigServiceResolver resolve() Port Filter is No-op","resolve() line 52: [e if e.port != port else ...] returns all endpoints regardless of requested port — no actual filtering occurs","low","open","Calling resolve(name, port=8080) returns endpoints on port 80 without filtering — unexpected behavior","","S","Either fix the logic to filter endpoints by port or remove port parameter entirely","network/adapters/config_resolver.py:52",""
"NET-012","network_L3","missing_component","AsyncCircuitBreaker No Public record_success/record_failure","_record_success() and _record_failure() are private methods — cannot be called from outside the class (like middleware)","medium","open","Cannot implement NET-001 proposed solution because required methods are private; prevents external circuit breaker integration","","S","Add public async record_success() and async record_failure() methods that call the private versions","network/resilience/circuit_breaker.py:68-88; methods created as async def _record_success and _record_failure (private)",""
"NET-013","network_L3","minor","network/__init__.py __all__ misses SessionRouterAdapter","SessionRouterAdapter is imported on line 21 but not included in __all__ (lines 36-59); from network import * will not export it","low","open","Inconsistency between import and export; from network import * won't include SessionRouterAdapter","","S","Add SessionRouterAdapter to __all__ list","network/__init__.py:21-59",""
