element_number,element_name,full_path,classification,development_state,architectural_state,required_concerns
0.1.1.f,__init__.py,network/__init__.py,Exists,production-grade,current,
0.1.2.f,protocol.py,network/protocol.py,Exists,production-grade,current,
0.1.1.1.f,__init__.py,network/adapters/__init__.py,Exists,production-grade,current,
0.1.1.2.f,config_resolver.py,network/adapters/config_resolver.py,Exists,production-grade,current,
0.1.1.3.f,dns_resolver.py,network/adapters/dns_resolver.py,Exists,production-grade,current,
0.1.1.4.f,pool_adapter.py,network/adapters/pool_adapter.py,Exists,production-grade,current,
0.1.1.5.f,router_adapter.py,network/adapters/router_adapter.py,Exists,production-grade,current,
0.1.2.1.f,__init__.py,network/algorithms/__init__.py,Exists,production-grade,current,
0.1.2.2.f,least_active.py,network/algorithms/least_active.py,Exists,production-grade,current,
0.1.2.3.f,round_robin.py,network/algorithms/round_robin.py,Exists,production-grade,current,
0.1.3.1.f,__init__.py,network/resilience/__init__.py,Exists,production-grade,current,
0.1.3.2.f,circuit_breaker.py,network/resilience/circuit_breaker.py,Exists,production-grade,current,
0.2.1.f,__init__.py,transport/__init__.py,Exists,production-grade,current,
0.2.2.f,_ws_framing.py,transport/_ws_framing.py,Exists,production-grade,current,
0.2.3.f,_ws_keepalive.py,transport/_ws_keepalive.py,Exists,production-grade,current,
0.2.4.f,base.py,transport/base.py,Exists,production-grade,current,
0.2.5.f,composite.py,transport/composite.py,Exists,production-grade,current,
0.2.6.f,consumer_example.py,transport/consumer_example.py,Exists,production-grade,current,
0.2.7.f,factory.py,transport/factory.py,Exists,production-grade,current,
0.2.8.f,inprocess.py,transport/inprocess.py,Exists,production-grade,current,
0.2.9.f,retry.py,transport/retry.py,Exists,production-grade,current,
0.2.10.f,subprocess.py,transport/subprocess.py,Exists,production-grade,current,
0.2.11.f,tcp.py,transport/tcp.py,Exists,production-grade,current,
0.2.12.f,transport_example.yaml,transport/transport_example.yaml,Exists,production-grade,current,
0.2.13.f,uds.py,transport/uds.py,Exists,production-grade,current,
0.2.14.f,websocket.py,transport/websocket.py,Exists,production-grade,current,
0.2.1.1.f,__init__.py,transport/channel/__init__.py,Exists,production-grade,current,
0.2.1.2.f,channel.py,transport/channel/channel.py,Exists,production-grade,current,
0.2.1.3.f,protocol.py,transport/channel/protocol.py,Exists,production-grade,current,
0.2.1.4.f,types.py,transport/channel/types.py,Exists,production-grade,current,
0.2.2.1.f,__init__.py,transport/config/__init__.py,Exists,production-grade,current,
0.2.2.2.f,transport_config.py,transport/config/transport_config.py,Exists,production-grade,current,
0.2.3.1.f,__init__.py,transport/context/__init__.py,Exists,production-grade,current,
0.2.3.2.f,retry_hook.py,transport/context/retry_hook.py,Exists,production-grade,current,
0.2.3.3.f,transport_context.py,transport/context/transport_context.py,Exists,production-grade,current,
0.3.1.f,ICheckpointSync.py,session/ICheckpointSync.py,Exists,production-grade,current,
0.3.2.f,ISessionLifecycle.py,session/ISessionLifecycle.py,Exists,production-grade,current,
0.3.3.f,__init__.py,session/__init__.py,Exists,production-grade,current,
0.3.4.f,coordinator.py,session/coordinator.py,Exists,production-grade,current,
0.3.5.f,factory.py,session/factory.py,Exists,production-grade,current,
0.3.6.f,protocol.py,session/protocol.py,Exists,production-grade,current,
0.3.7.f,session_dispatcher.py,session/session_dispatcher.py,Exists,production-grade,current,
0.3.8.f,session_registry.py,session/session_registry.py,Exists,production-grade,current,
0.3.1.1.f,cli_session.py,session/adapters/cli_session.py,Exists,production-grade,current,
0.3.1.2.f,inprocess_session.py,session/adapters/inprocess_session.py,Exists,production-grade,current,
0.3.1.3.f,network_session.py,session/adapters/network_session.py,Exists,production-grade,current,
0.3.2.1.f,retry_hooks.py,session/hooks/retry_hooks.py,Exists,production-grade,current,
0.4.1.f,__init__.py,presentation/__init__.py,Exists,production-grade,current,
0.4.2.f,pipeline.py,presentation/pipeline.py,Exists,production-grade,current,
0.4.3.f,protocol.py,presentation/protocol.py,Exists,production-grade,current,
0.4.4.f,request_types.py,presentation/request_types.py,Exists,production-grade,current,
0.4.1.1.f,__init__.py,presentation/codecs/__init__.py,Exists,production-grade,current,
0.4.1.2.f,compression.py,presentation/codecs/compression.py,Exists,production-grade,current,
0.4.1.3.f,json_serializer.py,presentation/codecs/json_serializer.py,Exists,production-grade,current,
0.4.1.4.f,sse_stream_codec.py,presentation/codecs/sse_stream_codec.py,Exists,production-grade,current,
0.5.1.f,__init__.py,protocols/__init__.py,Exists,production-grade,current,
0.5.2.f,cli_handler.py,protocols/cli_handler.py,Exists,production-grade,current,
0.5.3.f,error_mapper.py,protocols/error_mapper.py,Exists,production-grade,current,
0.5.4.f,graphql_handler.py,protocols/graphql_handler.py,Exists,production-grade,current,
0.5.5.f,grpc_handler.py,protocols/grpc_handler.py,Exists,production-grade,current,
0.5.6.f,http_handler.py,protocols/http_handler.py,Exists,production-grade,current,
0.5.7.f,inprocess_handler.py,protocols/inprocess_handler.py,Exists,production-grade,current,
0.5.8.f,local_ipc_handler.py,protocols/local_ipc_handler.py,Exists,production-grade,current,
0.5.9.f,protocol.py,protocols/protocol.py,Exists,production-grade,current,
0.5.10.f,webhook_handler.py,protocols/webhook_handler.py,Exists,production-grade,current,
0.6.1.f,assembler.py,wiring/assembler.py,Exists,production-grade,current,
0.6.2.f,runner.py,wiring/runner.py,Exists,production-grade,current,
0.6.1.1.f,fabric_health.py,wiring/adapters/fabric_health.py,Exists,production-grade,current,
0.6.2.1.f,loader.py,wiring/config/loader.py,Exists,production-grade,current,
0.6.2.2.f,transport_example.yaml,wiring/config/transport_example.yaml,Exists,production-grade,current,
0.6.3.1.f,communication_gateway.py,wiring/contracts/communication_gateway.py,Exists,production-grade,current,
0.6.4.1.f,network_provider.py,wiring/factories/network_provider.py,Exists,production-grade,current,
