id,domain,category,title,description,severity,status,impact,dependencies,effort_estimate,proposed_solution,evidence,notes
OBS-001,observability,missing_component,Structured Logging Framework,No unified logging system — logger.debug/info/error scattered without unified schema or structured format,high,open,Debugging and production maintenance difficulty — logs cannot be analyzed automatically,,M,Adopt structlog or python-json-logger with unified schema for each layer,main.py:13 basicConfig time-only format; every file uses logging.getLogger(__name__); 300+ logging calls across src/ without JSON formatting,
OBS-002,observability,missing_component,OpenTelemetry Distributed Tracing,No tracing linking requests across L3→L8 — correlation_id exists in TransportContext but is not actually used for OTel span/trace,high,open,Difficulty identifying bottlenecks and root cause of failures in multi-layer pipelines,OBS-001,L,Add OpenTelemetry instrumentation middleware at L7 entry point (FabricClient.send/receive) and pass context through layers,transport/context/transport_context.py:30 carries correlation_id; base.py:55 generates corr-{time_ns()}; 47 grep matches for correlation_id across src/ but no OTel spans,
OBS-003,observability,missing_component,Prometheus Metrics Endpoint,"No metrics (message count, latency percentiles, error rate per protocol, active sessions)",critical,open,Cannot monitor system health in production or create alerts,OBS-001,M,Add Prometheus client with counters/gauges/histograms for each layer,"wiring/pipelines/base.py:45 _stats (requests, errors, avg_latency_ms) in memory only; transport/channel/types.py:30 ChannelMetrics exists but not exported; fabric_health.py returns simple status only",
OBS-004,observability,incomplete_implementation,Health Check Probes (K8s),"liveness_check/readiness_check exist in CommunicationFabricAssembler but do not actually check underlying components — no circuit breaker, no channel pool health",high,open,/ready may return OK while channel pool or session registry is broken,,S,"Link liveness_check to event loop health and circuit breaker; link readiness_check to channel pool health_check (pool_adapter.py:68), session registry and each registered pipeline","wiring/assembler.py:287-295 liveness only checks {_started, loop_running}; readiness:298-313 only checks pipeline count; adapters/fabric_health.py:28 provides FastAPI endpoints but depends on ICommunicationGateway which lacks liveness/readiness in contract",
OBS-005,observability,missing_component,Audit Logging,No logging of incoming/outgoing messages for audit and compliance purposes,medium,open,Cannot track what communicated with what and when in regulated environments,OBS-001,M,"Add optional AuditLogger enabled via config — logs source,destination,protocol,session_id,payload_size,timestamp",No audit calls or message logging in any pipeline; inbound.py/outbound.py do not log payload metadata,
OBS-006,observability,design_flaw,Logger Overhead in Hot Path,PresentationPipeline.encode/decode calls logger.debug on every invocation causing cumulative performance impact on high-throughput paths,low,open,Cumulative performance impact on high-throughput paths,,XS,Replace logger.debug with isEnabledFor(logging.DEBUG) or remove hot-path logging,presentation/pipeline.py:104 logger.debug in encode; :127 logger.debug in decode — called for every message,
OBS-007,observability,missing_component,Unified Error Response Schema,No unified error schema across protocols — each protocol handler returns errors in different formats,medium,open,Difficult error processing at API gateway and client SDK; cannot analyze failure patterns,,S,"Create ErrorResponse Pydantic model with code, message, layer, correlation_id, timestamp; unify across all protocol handlers",protocols/error_mapper.py exists but not used consistently; PipelineExecutionError (base.py:22) has layer/message/original but not unified as HTTP/gRPC response; logger.error sometimes with exc_info=True sometimes without,
OBS-008,observability,missing_component,Channel Metrics Not Exported,"ChannelMetrics (messages_sent, bytes_sent, errors) exists in transport/channel/types.py but not aggregated or exported to any monitoring system",low,open,Cannot monitor individual channel performance or detect memory leaks in pool,OBS-003,S,Aggregate ChannelMetrics via ChannelPool and expose via Prometheus endpoint or health check,"transport/channel/types.py:30-39 ChannelMetrics dataclass (opened_at, closed_at, messages_sent, bytes_sent, errors); channel.py:45-46 property; but pool_adapter.py does not collect metrics and no exporter exists",
OBS-009,observability,design_flaw,ICommunicationGateway Contract Missing Liveness/Readiness,FabricHealthEndpoints calls gateway.liveness_check and gateway.readiness_check but ICommunicationGateway protocol does not declare them — only works by coincidence via structural typing,medium,open,Runtime crash if FabricClient interface changes; unclear to new developers,,XS,Add liveness_check() and readiness_check() to ICommunicationGateway interface with documentation,"wiring/contracts/communication_gateway.py:45 only health_check declared; adapters/fabric_health.py:56,59 calls gateway.liveness_check and readiness_check as structural typing only",
OBS-010,observability,missing_component,Structured Log Correlation,correlation_id passes through TransportContext in every request but is not injected into logs — cannot link log entries to specific requests,medium,open,Debugging requires manual log search; cannot trace request journey across layers,OBS-001,S,Add logging.Filter or setLogRecordFactory to inject correlation_id/session_id from context vars into every log record,transport/context/transport_context.py:30 correlation_id in every context; but logging.getLogger(__name__) in every file does not carry context metadata,
OBS-011,observability,missing_component,Session Registry Lacks Observability Metrics,"SessionRegistry (session_registry.py) does not log counters for created sessions, ended sessions, evicted sessions, or expired sessions",low,open,Cannot monitor session leaks or usage patterns; difficulty in capacity planning,,S,"Add internal counters (created, evicted, expired, active) and export via health check or Prometheus","session_registry.py: register() only logs; evict_idle() keeps no counters; active_count() only; no total_created, total_evicted",
