"id","domain","category","title","description","severity","status","impact","dependencies","effort_estimate","proposed_solution","evidence","notes"
"WIR-001","wiring_di","missing_integration","assemble() Config Values Silently Defaulted Despite load_config() Call","CommunicationFabricAssembler.assemble() calls load_config() at line 186, but the YAML structure is nested (e.g. network.pool.max_size) while load_config() reads flat keys (pool_max_size). All network/session/presentation config values revert to defaults silently. No warning logged when YAML keys go unread.","high","open","All config-driven settings silently ignored — changing transport_example.yaml has zero effect on behavior","","L","Align load_config() key paths with actual YAML structure; add a diff-warning log for unread keys; write a unit test that verifies load_config('transport_example.yaml') returns non-default values","assembler.py:186 calls load_config; transport_example.yaml uses nested keys (pool.max_size, load_balancer); loader.py:94-99 reads flat net.get('pool_max_size')",""
"WIR-002","wiring_di","missing_integration","DNSResolver and ConfigResolver Not Injected","StandardDnsResolver and ConfigServiceResolver imported in network_provider.py but never instantiated or injected into any component. build_session_router passes a channel_lookup lambda that returns None instead of a resolver.","medium","open","Service discovery ineffective — all endpoint resolution falls back to None/empty, cannot resolve dynamic endpoints","NET-002 NET-003","S","Instantiate resolver in assembler or factory; inject into SessionRouterAdapter; modify select() to call resolver when cache is empty","network_provider.py:9-10 imports unused; network_provider.py:51 lambda _: None as channel_lookup",""
"WIR-003","wiring_di","missing_integration","CircuitBreaker Built But Not Assigned","build_circuit_breaker() defined in network_provider.py:57-69 creates a working AsyncCircuitBreaker, but assemble() never calls it. AsyncChannelPool has no circuit-breaker slot.","high","open","Zero cascade-failure protection — one channel failure can flood the system; OBS-003's observation that CB is defined but orphaned confirmed","OBS-003 NET-001","S","Wire CircuitBreaker into AsyncChannelPool (accept optional cb param in __init__); integrate allow_request / record_success / record_failure into channel lifecycle","network_provider.py:57-69 defines build_circuit_breaker; assembler.py never calls it; YAML has 'network.circuit_breaker.enabled: true' but it is never read",""
"WIR-004","wiring_di","missing_component","AppRunner Composition Root Exists but main.py Lacks Import","AppRunner class is fully implemented in runner.py (start/stop/signal handling/classmethod run). However src/main.py:23 calls AppRunner.run() without any import statement — will raise NameError on startup.","critical","resolved","AppRunner code is complete and correct, but the entry point is broken by a missing import","","S","Add 'from wiring.runner import AppRunner' to src/main.py","runner.py:20-89 has working AppRunner; src/main.py:23 calls AppRunner.run but no import exists","AppRunner verified present. Gap narrowed: AppRunner exists, only the import wire in main.py is missing."
"WIR-005","wiring_di","design_flaw","No Wiring Validation Before assemble()","assemble() builds components linearly — if component 5 fails, components 1-4 are wasted. No pre-flight check of config completeness or dependency availability.","high","open","Partial startup failures waste resources; hard to distinguish transient errors from missing deps","","M","Create wiring/validator.py with validate_graph(AppConfig) returning List[ValidationError]; call at top of assemble() before any build call","assembler.py builds sequentially with no pre-validation",""
"WIR-006","wiring_di","design_flaw","Factory Providers Created But Not Verified End-to-End","5 factory modules (network, transport, session, presentation, protocol) produce objects but no test assembles them into a full pipeline and exercises FabricClient.send/receive roundtrip.","high","open","Each factory works alone but composition fails may go undetected until production","TST-001 TST-002","L","Create an integration test that (a) builds full assembler with test config, (b) wires FabricClient, (c) does a send/receive roundtrip; run in CI on every PR","No integration test calls assemble() end-to-end",""
"WIR-007","wiring_di","missing_component","No Component Graph or Dependency Documentation","No definition of ComponentNode, dependency edges, or visual/CLI dependency graph. Onboarding requires reading every factory and assembler manually.","medium","open","High onboarding friction; dependency mismatches likely in future changes","","S","Create wiring/graph.py with ComponentNode dataclass and dependency edges; add optional --graph CLI flag to main.py","No wiring/graph.py exists",""
"WIR-008","wiring_di","bug","ICommunicationGateway Protocol Mismatch on Health Probes","Python structural Protocol ICommunicationGateway may not validate at runtime with isinstance(). Additionally, FabricHealthEndpoints calls gateway.liveness_check() and gateway.readiness_check() but FabricClient only has health_check() — these methods exist only on CommunicationFabricAssembler.","medium","open","FabricHealthEndpoints will raise AttributeError at runtime; isinstance(gw, ICommunicationGateway) may silently pass despite missing methods","","M","Add liveness_check() and readiness_check() to FabricClient (delegate to Assembler's implementations); or switch ICommunicationGateway to ABC; add isinstance() test","fabric_health.py:56 calls gateway.liveness_check; fabric_health.py:59 calls gateway.readiness_check; FabricClient has neither method","Extends original scope: the protocol mismatch is broader than just isinstance()"
"WIR-009","wiring_di","bug","fabric_health.py Uses Wrong Import Path for ICommunicationGateway","fabric_health.py:14 imports 'from contracts.communication_gateway import ICommunicationGateway' but the actual file is at wiring/contracts/communication_gateway.py. No root-level contracts/ package exists.","high","open","ModuleNotFoundError at import time — FabricHealthEndpoints can never be imported anywhere in the project","","S","Change import to 'from wiring.contracts.communication_gateway import ICommunicationGateway'","fabric_health.py:14; contracts dir check returned no matching files",""
"WIR-010","wiring_di","missing_integration","Protocol Transport Config Silently Defaults in YAML-to-Object Mapping","load_config() creates ProtocolEntryConfig for each protocol entry, but the YAML protocol sections (http, graphql, websocket, grpc) contain protocol-specific keys (enabled, base_url, ping_interval, max_depth) — NOT the expected transport fields (transport, endpoint, port, socket_path). All protocols silently use 'inprocess' transport with no endpoint.","medium","open","Every protocol defaults to inprocess transport regardless of YAML intent; websocket/grpc configs in YAML are dead code","","M","Align ProtocolEntryConfig fields with actual YAML structure or add a separate transport sub-section per protocol in YAML; log a warning for each unread protocol field","loader.py:129-136 builds ProtocolEntryConfig; transport_example.yaml:46-60 has no transport/endpoint/port fields in protocol entries",""
"WIR-011","wiring_di","design_flaw","Inbound PresentationPipeline in _build_protocol_handlers Bypasses Loaded Config","_build_protocol_handlers() at assembler.py:274-278 creates a second PresentationPipeline for inbound direction with hardcoded serializer='json' and compressor='gzip', ignoring the loaded config values from cfg.presentation.","medium","open","Inbound pipeline may use different serialization settings than outbound, causing encode/decode asymmetry","","S","Reuse the loaded PresentationConfig to build the inbound pipeline: serializer=cfg.serializer, compressor=cfg.compressor","assembler.py:274-278 hardcodes 'json'/'gzip'; config/loader.py:116-123 has PresentationConfig with config-driven values",""
"WIR-012","wiring_di","missing_component","Missing __init__.py in wiring/ and wiring/adapters/ Packages","Neither the wiring/ package directory nor the wiring/adapters/ directory contains __init__.py. While Python 3.3+ namespace packages work without them, this breaks static analysis, IDE autocompletion, and some packaging tools.","low","open","Import discovery inconsistencies; mypy/pyright may not resolve subpackages; setuptools autodiscovery may fail","","S","Add empty __init__.py to wiring/ and wiring/adapters/","File listing shows no __init__.py in wiring/ or wiring/adapters/","Low priority but recommended for tooling compatibility"
