id,domain,component,file_path,line_number,bug_type,severity,description,proposed_fix
PBC-001,protocols_L7,GrpcProtocolHandler,src/protocols/grpc_handler.py,30,design_flaw,high,"GrpcProtocolHandler exists with full implementation (unary, streaming, serve, close) but does NOT inherit IProtocolHandler ABC. Method signatures (handle_outbound/service/method/payload, serve/handler) differ completely from ABC (prepare_outbound/payload/ctx, process_inbound/app_obj/ctx). Cannot verify protocol contract via IDE static analysis; LSP broken.",Make GrpcProtocolHandler explicitly inherit IProtocolHandler; either rename methods to match ABC or update ABC to accommodate gRPC-specific signatures.
PBC-002,protocols_L7,GraphQLProtocolHandler,src/protocols/graphql_handler.py,25,design_flaw,high,"GraphQLProtocolHandler exists with full implementation (queries, subscriptions, error formatting) but does NOT inherit IProtocolHandler ABC. Method signatures (handle_inbound/raw_payload/context/executor, handle_outbound/query/variables/sender) differ entirely from ABC. Cannot verify contract via IDE static analysis.",Make GraphQLProtocolHandler explicitly inherit IProtocolHandler; unify interface while preserving GraphQL-specific semantics (query/variables/operationName).
PBC-003,protocols_L7,WebhookProtocolHandler,src/protocols/webhook_handler.py,27,design_flaw,medium,"WebhookProtocolHandler exists with full implementation (HMAC-SHA256, idempotency, replay protection) but does NOT inherit IProtocolHandler ABC. Missing process_outbound_response() and close() methods. Resource leak: idempotency_store grows unbounded.",Make WebhookProtocolHandler inherit IProtocolHandler; add process_outbound_response() and close(); add periodic idempotency_store cleanup.
PBC-004,protocols_L7,LocalIpcProtocolHandler,src/protocols/local_ipc_handler.py,30,design_flaw,medium,"LocalIpcProtocolHandler exists with full implementation (outbound, inbound, streaming, peer verification) but does NOT inherit IProtocolHandler ABC. Missing process_outbound_response() method. Type safety not guaranteed.",Make LocalIpcProtocolHandler inherit IProtocolHandler; add process_outbound_response().
PBC-005,protocols_L7,IProtocolHandler ABC,src/protocols/protocol.py,9,design_flaw,high,"IProtocolHandler(ABC) defines 4 abstract methods (prepare_outbound, process_inbound, process_outbound_response, close) but NONE of the 7 handlers (http, cli, inprocess, grpc, graphql, webhook, local_ipc) inherit it. Contract is structural-only; IDE static analysis catches zero violations; LSP completely broken.",Make all 7 handlers explicitly inherit IProtocolHandler; evaluate if ABC abstract methods need updating to accommodate natural protocol signature diversity.
PBC-006,protocols_L7,ProtocolErrorMapper,src/protocols/error_mapper.py,70,missing_integration,medium,"ProtocolErrorMapper.map() defines ProtocolType.LOCAL_IPC, GRAPHQL, WEBHOOK in the enum but has no dedicated _to_local_ipc(), _to_graphql(), _to_webhook() methods. The match statement (line 70-76) falls through to case _: return cls._to_http(cat). Local IPC errors appear as HTTP 500; GraphQL errors get HTTP headers; retryable hints are inaccurate.",Add _to_local_ipc(), _to_graphql(), _to_webhook() methods to ProtocolErrorMapper; add retryable constants for each; update match statement to handle these protocol types explicitly rather than falling back to HTTP.
PBC-007,protocols_L7,All handlers (signature mismatch),src/protocols/protocol.py,21,design_flaw,high,"IProtocolHandler ABC assumes uniform prepare_outbound(payload, ctx) and process_inbound(app_obj, ctx) signatures, but each handler has fundamentally different parameters: http needs method/path/headers/payload; cli needs command/env/payload; graphql needs query/variables/operationName; inprocess needs target_override. The uniform contract is architecturally wrong for multi-protocol support. No handler can substitute another; ABC is currently useless as a contract; protocol_provider falsely returns IProtocolHandler types.",Redesign IProtocolHandler: either (a) convert to ProtocolHandlerInterface with Generic Types per-protocol, or (b) reduce ABC to only truly common methods (close) and let each handler define its own protocol-specific signatures freely without pretending uniformity.
PBC-008,protocols_L7,"InProcessProtocolHandler, CliProtocolHandler, GraphQLProtocolHandler, WebhookProtocolHandler","src/protocols/inprocess_handler.py:26, cli_handler.py:26, graphql_handler.py:25, webhook_handler.py:27",26,design_flaw,medium,"4 of 7 handlers are missing close() AND process_outbound_response(): InProcessProtocolHandler, CliProtocolHandler, GraphQLProtocolHandler, WebhookProtocolHandler. Incomplete lifecycle management causes resource leaks across the multi-protocol fabric. Only http, grpc, and local_ipc have close().",Add close() (for resource release) and process_outbound_response() (for outbound response handling) to each of the 4 deficient handlers; provide default no-op implementations in IProtocolHandler ABC.
PBC-009,protocols_L7,"CliProtocolHandler, WebhookProtocolHandler","src/protocols/cli_handler.py:26, webhook_handler.py:27",26,design_flaw,low,"CliProtocolHandler opens stdin/stdout in handle_inbound (line 113) but has no close() to release them. WebhookProtocolHandler accumulates idempotency_store entries indefinitely (only clears at 100k entries via clear_expired_idempotency). Both leak resources in long-running applications.",Add close() to CliProtocolHandler to release stdin/stdout handles. Improve WebhookProtocolHandler.clear_expired_idempotency() with TTL-based partial eviction instead of full clear at 100k threshold.
PBC-010,protocols_L7,ProtocolErrorMapper,src/protocols/error_mapper.py,49,missing_integration,low,"_RETRYABLE sets exist only for HTTP (line 49: {429,500,502,503,504}), CLI (line 50: {1,2}), and gRPC (line 51: {4,14}). LOCAL_IPC, GRAPHQL, and WEBHOOK have no retryable status lists. Even after adding _to_* methods (PBC-006), retryable flags for these protocols will be inaccurate, causing unnecessary retries or missed retry opportunities.",Add _LOCAL_IPC_RETRYABLE, _GRAPHQL_RETRYABLE, and _WEBHOOK_RETRYABLE constants to ProtocolErrorMapper; document protocol-specific retry criteria for each; integrate into respective _to_* methods.
