id,domain,component,file_path,line_number,bug_type,severity,description,proposed_fix
NET-001,network_L3,AsyncCircuitBreaker,network/resilience/circuit_breaker.py,45,Functionality,High,AsyncCircuitBreaker is built but never wired into AsyncChannelPool or router; call() method at line 45 is never invoked; _record_success/_record_failure are private preventing external integration,Add public async record_success() and record_failure() methods; wire CircuitBreaker around AsyncChannelPool.acquire(); invoke .call() as wrapper in middleware layer; update build_channel_pool to accept optional circuit_breaker
NET-002,network_L3,StandardDnsResolver,network/adapters/dns_resolver.py,20,Functionality,Medium,StandardDnsResolver is built via factory but never injected into SessionRouterAdapter or CommunicationFabricAssembler; endpoints remain hardcoded in config and DNS-based discovery has no effect,Inject dns_resolver into SessionRouterAdapter as a fallback source; when resolve() gets no session match, attempt DNS resolution before returning None
NET-003,network_L3,ConfigServiceResolver,network/adapters/config_resolver.py,20,Functionality,Medium,ConfigServiceResolver is built but never injected into the assembly; YAML-defined services have no impact on routing — documentation and runtime behavior diverge,Inject config_resolver into SessionRouterAdapter as a fallback endpoint source; merge YAML-defined endpoints with runtime session map
NET-007,network_L3,AsyncChannelPool,network/adapters/pool_adapter.py,49,Functionality,High,AsyncChannelPool.acquire() calls TransportFactory.create_channel() at line 49 without asyncio.wait_for(); transient failures or connection hangs block acquire() forever; no connect retry mechanism exists,Add connect_timeout via asyncio.wait_for() and connect_retry_count to AsyncChannelPool.__init__() and acquire(); classify transient failures and retry before raising
NET-008,network_L3,RoundRobinStrategy,network/algorithms/round_robin.py,16,Logic,Medium,asyncio.Lock() created at line 16 but never acquired in select(); self._index += 1 at line 28 is not protected by the lock making it unsafe under concurrency,Remove the unused self._lock entirely (simplest fix) or acquire it in select() to protect the index increment
NET-009,network_L3,SessionRouterAdapter,network/adapters/router_adapter.py,38,Logic,Medium,resolve() at line 38 compares channel.state.value against string literals "active"/"connecting" instead of using ChannelState enum — silent breakage if enum values change,Replace hardcoded strings with channel.state in (ChannelState.ACTIVE, ChannelState.CONNECTING)
NET-010,network_L3,protocol.py,network/protocol.py,15,Syntax,Low,Lines 15-17 contain duplicate imports (from typing import List, Optional, Protocol / from dataclasses import dataclass, field) and a stale comment '# network/protocol.py (جزء مُضاف فقط)',Remove lines 15-17 entirely — imports already exist at lines 9-11
NET-011,network_L3,ConfigServiceResolver,network/adapters/config_resolver.py,52,Logic,Low,resolve() at line 52 uses list comprehension [e if e.port != port else ...] that returns ALL endpoints regardless of port — port filter has no effect and callers get unexpected results,Either rewrite with a proper filter [e for e in eps if e.port == port] or remove the port parameter if filtering is not intended
NET-012,network_L3,AsyncCircuitBreaker,network/resilience/circuit_breaker.py,68,Functionality,Medium,_record_success() (line 68) and _record_failure() (line 79) are private methods; external code such as middleware or higher-layer interceptors cannot call them, blocking NET-001 integration,Add public async record_success() and async record_failure() methods that delegate to the private implementations; update __all__ if needed
NET-013,network_L3,network/__init__.py,network/__init__.py,21,Logic,Low,SessionRouterAdapter imported at line 21 but not included in __all__ (lines 36-59); from network import * will not export it,Add "SessionRouterAdapter" to the __all__ list
