"id","domain","category","title","description","severity","status","impact","dependencies","effort_estimate","proposed_solution","evidence","notes"
"PRT-001","protocols_L7","design_flaw","gRPC Handler Structural Incompatibility with ABC","GrpcProtocolHandler exists in protocols/grpc_handler.py with full implementation (unary, streaming, serve, close) but does NOT inherit IProtocolHandler. Method signatures (handle_outbound/serve) differ completely from prepare_outbound/process_inbound in ABC. Cannot verify gRPC protocol contract via IDE static analysis; LSP broken.","high","open","Cannot verify gRPC protocol contract via IDE static analysis; replacing it breaks LSP","PRT-006","S","Make GrpcProtocolHandler inherit IProtocolHandler; unify function names or update ABC to match real protocol signatures","protocols/grpc_handler.py:30-48","grpc_handler.py exists and implemented — not missing_component"
"PRT-002","protocols_L7","design_flaw","GraphQL Handler Structural Incompatibility with ABC","GraphQLProtocolHandler exists in protocols/graphql_handler.py with full implementation (queries, subscriptions, errors) but does NOT inherit IProtocolHandler. Method signatures (handle_inbound/handle_outbound) differ entirely from ABC. Cannot verify contract via IDE static analysis.","high","open","Cannot verify GraphQL handler meets contract; replacing it breaks LSP","PRT-006","S","Make GraphQLProtocolHandler inherit IProtocolHandler; unify interface while preserving GraphQL semantic accuracy (query/variables/operationName)","protocols/graphql_handler.py:25-39","graphql_handler.py exists and implemented — not missing_component"
"PRT-003","protocols_L7","missing_component","No Dedicated WebSocket Protocol Handler","No standalone protocols/websocket_handler.py file exists. http_handler.py contains _handle_websocket_request (lines 216-227) within ASGI app but is not a standalone handler. ProtocolType.WEBSOCKET and ProtocolErrorMapper._to_websocket() exist. Cannot use WebSocket as independent protocol — depends on HTTP handler for WS lifecycle.","high","open","Cannot use WebSocket as independent protocol — depends on HTTP handler for WS","PRT-009 (WebSocket Transporter)","M","Create standalone WebSocketProtocolHandler inheriting IProtocolHandler; extract WS logic from http_handler; support text/binary frames, ping/pong, close codes","protocols/http_handler.py:216-227 — only embedded within HTTP handler","http_handler.py handles WebSocket only within ASGI app"
"PRT-004","protocols_L7","design_flaw","Webhook Handler Structural Incompatibility with ABC","WebhookProtocolHandler exists in protocols/webhook_handler.py with full implementation (HMAC-SHA256 signature verification, idempotency, replay protection) but does NOT inherit IProtocolHandler. Missing process_outbound_response() and close(). Resource leak: idempotency_store grows unbounded.","medium","open","Cannot verify protocol contract; resource leak (no close method)","PRT-006","S","Make WebhookProtocolHandler inherit IProtocolHandler; add process_outbound_response() and close(); add periodic idempotency_store cleanup","protocols/webhook_handler.py:27-47","webhook_handler.py exists and implemented — not missing_component"
"PRT-005","protocols_L7","design_flaw","Local IPC Handler Structural Incompatibility with ABC","LocalIpcProtocolHandler exists in protocols/local_ipc_handler.py with full implementation (outbound, inbound, streaming, peer verification) but does NOT inherit IProtocolHandler. Missing process_outbound_response(). Type safety not guaranteed.","medium","open","Cannot verify protocol contract; type safety not guaranteed","PRT-006","S","Make LocalIpcProtocolHandler inherit IProtocolHandler; add process_outbound_response()","protocols/local_ipc_handler.py:30-51","local_ipc_handler.py exists and implemented — not missing_component"
"PRT-006","protocols_L7","design_flaw","IProtocolHandler ABC Not Inherited by Any Handler","protocols/protocol.py defines IProtocolHandler(ABC) with 4 abstract methods (prepare_outbound, process_inbound, process_outbound_response, close) but NONE of the 7 handlers inherit it. Contract is structural-only; IDE static analysis catches zero violations; LSP completely broken.","high","open","IDE static analysis cannot catch errors; LSP broken; any new handler may miss essential functions","PRT-001, PRT-002, PRT-004, PRT-005","M","Make all 7 handlers inherit IProtocolHandler; evaluate if ABC methods need updating to accommodate protocol differences (each protocol has unique signature)","protocols/protocol.py:9-35 plus all 7 handler files","Problem broader than HTTP only — all 7 handlers lack inheritance"
"PRT-007","protocols_L7","missing_integration","ErrorMapper Missing Dedicated Mapping LOCAL_IPC/GRAPHQL/WEBHOOK","ProtocolErrorMapper.map() defines ProtocolType.LOCAL_IPC, GRAPHQL, WEBHOOK in Enum but no _to_local_ipc, _to_graphql, _to_webhook functions. The match statement (lines 70-76) falls through to case _: return cls._to_http(cat). IPC/Webhook/GraphQL errors translated as HTTP.","medium","open","IPC errors appear as HTTP 500; GraphQL errors get HTTP headers; inaccurate retryable hints","PRT-012","S","Add _to_local_ipc, _to_graphql, _to_webhook to ProtocolErrorMapper; add retryable constants per protocol; update match statement","protocols/error_mapper.py:70-76 case _: fallback to HTTP","All handlers actually use ProtocolErrorMapper — issue is mapper itself incomplete"
"PRT-008","protocols_L7","design_flaw","All Handler Methods Mismatch IProtocolHandler Signatures","IProtocolHandler ABC assumes uniform prepare_outbound(payload, ctx) but real handlers need different parameters (http: method/path/headers/payload; cli: command/env/payload; graphql: query/variables/operationName; inprocess: target_override). Uniform contract is architecturally wrong. No handler can substitute another; ABC is currently useless as unified contract; protocol_provider falsely returns IProtocolHandler types.","high","open","No handler can replace another; ABC currently useless as unified contract; protocol_provider returns false IProtocolHandler","PRT-006","L","Redesign IProtocolHandler: either (a) make it wide ProtocolHandlerInterface with Generic Types per-protocol, or (b) reduce ABC to only shared close() method and let each protocol define its own signature freely","protocols/protocol.py vs all handler signatures","Problem deeper than HTTP only — affects all handlers"
"PRT-009","protocols_L7","missing_component","No Factory Module in protocols/ Package","No factory.py exists inside protocols/. Handler construction logic lives in wiring/factories/protocol_provider.py separate from protocol package. Breaks encapsulation and adding a new handler requires modifying two separate locations.","low","open","Adding a new handler requires knowledge of two separate locations; registration logic not consolidated","PRT-001..008","L","Move build_protocol_handler logic from protocol_provider.py to protocols/factory.py; re-export via __init__.py; make protocol_provider.py delegate to protocols.factory.build_protocol_handler","src/protocols/ has no factory.py vs src/wiring/factories/protocol_provider.py:23-93","Architectural improvement — not blocking"
"PRT-010","protocols_L7","design_flaw","Multiple Handlers Missing close() and process_outbound_response","InProcessProtocolHandler (no close, no process_outbound_response), CliProtocolHandler (no close, no process_outbound_response), GraphQLProtocolHandler (no close, no process_outbound_response), WebhookProtocolHandler (no close, no process_outbound_response) — only 3 of 7 handlers meet ABC contract fully.","medium","open","Resource leaks on close for inprocess/cli/graphql/webhook; inconsistent lifecycle management across 7 protocols","PRT-006","S","Add close() (to release resources) and process_outbound_response() (to process outbound responses) to each missing handler; provide default implementation in ABC","multiple handler files","Includes 4 handlers missing lifecycle functions"
